# piecewise constant function 
x y value 
0.000000 0.000000 0.000000
0.000000 0.000000 0.000000
0.090909 0.000000 0.000000
0.090909 0.000000 0.000000
0.181818 0.000000 0.000000
0.181818 0.000000 0.000000
0.272727 0.000000 0.000000
0.272727 0.000000 0.000000
0.363636 0.000000 0.000000
0.363636 0.000000 0.000000
0.454545 0.000000 0.000000
0.454545 0.000000 0.000000
0.545455 0.000000 0.000000
0.545455 0.000000 0.000000
0.636364 0.000000 0.000000
0.636364 0.000000 0.000000
0.727273 0.000000 0.000000
0.727273 0.000000 0.000000
0.818182 0.000000 0.000000
0.818182 0.000000 0.000000
0.909091 0.000000 0.000000
0.909091 0.000000 0.000000
1.000000 0.000000 0.000000
1.000000 0.000000 0.000000

0.000000 0.000000 0.000000
0.000000 0.000000 0.010127
0.090909 0.000000 0.010127
0.090909 0.000000 0.029560
0.181818 0.000000 0.029560
0.181818 0.000000 0.046598
0.272727 0.000000 0.046598
0.272727 0.000000 0.059861
0.363636 0.000000 0.059861
0.363636 0.000000 0.068275
0.454545 0.000000 0.068275
0.454545 0.000000 0.071157
0.545455 0.000000 0.071157
0.545455 0.000000 0.068275
0.636364 0.000000 0.068275
0.636364 0.000000 0.059861
0.727273 0.000000 0.059861
0.727273 0.000000 0.046598
0.818182 0.000000 0.046598
0.818182 0.000000 0.029560
0.909091 0.000000 0.029560
0.909091 0.000000 0.010127
1.000000 0.000000 0.010127
1.000000 0.000000 0.000000

0.000000 0.090909 0.000000
0.000000 0.090909 0.010127
0.090909 0.090909 0.010127
0.090909 0.090909 0.029560
0.181818 0.090909 0.029560
0.181818 0.090909 0.046598
0.272727 0.090909 0.046598
0.272727 0.090909 0.059861
0.363636 0.090909 0.059861
0.363636 0.090909 0.068275
0.454545 0.090909 0.068275
0.454545 0.090909 0.071157
0.545455 0.090909 0.071157
0.545455 0.090909 0.068275
0.636364 0.090909 0.068275
0.636364 0.090909 0.059861
0.727273 0.090909 0.059861
0.727273 0.090909 0.046598
0.818182 0.090909 0.046598
0.818182 0.090909 0.029560
0.909091 0.090909 0.029560
0.909091 0.090909 0.010127
1.000000 0.090909 0.010127
1.000000 0.090909 0.000000

0.000000 0.090909 0.000000
0.000000 0.090909 0.029560
0.090909 0.090909 0.029560
0.090909 0.090909 0.086285
0.181818 0.090909 0.086285
0.181818 0.090909 0.136019
0.272727 0.090909 0.136019
0.272727 0.090909 0.174735
0.363636 0.090909 0.174735
0.363636 0.090909 0.199294
0.454545 0.090909 0.199294
0.454545 0.090909 0.207708
0.545455 0.090909 0.207708
0.545455 0.090909 0.199294
0.636364 0.090909 0.199294
0.636364 0.090909 0.174735
0.727273 0.090909 0.174735
0.727273 0.090909 0.136019
0.818182 0.090909 0.136019
0.818182 0.090909 0.086285
0.909091 0.090909 0.086285
0.909091 0.090909 0.029560
1.000000 0.090909 0.029560
1.000000 0.090909 0.000000
